client,cmt,level,like,nn,prov,reply,score,time
4,好,62,0,k***3,广东,0,5,2016-12-05 22:30:08
2,东西发过来不是全新的 全是划痕。 将就着用吧,105,0,陶***8,,0,5,2017-01-30 05:16:24
4,太小了，风力很大的,62,0,j***1,浙江,0,5,2017-01-31 10:21:10
2,好,56,0,j***f,,0,5,2017-01-27 11:11:02
2,不错，好用，打算在去某苏上再入手两台送父母，为啥去某苏买呢，因为京东自配送都不送货上门&hellip;这是唯一不满意的,62,0,橙***怪,,0,5,2017-02-03 22:34:14
4,好,56,0,j***8,陕西,0,5,2017-01-22 11:45:01
2,。,62,0,S***y,,0,5,2017-01-12 19:03:20
2,很不错。 即开即热,56,0,j***j,江苏,0,5,2016-12-29 19:43:17
0,不错，好，很好，非常好，特别的好。,62,0,y***c,,0,5,2017-01-08 14:15:29
4,东西不错。。。。。,62,0,m***3,广东,0,5,2017-01-04 19:54:15
2,风量很大,61,0,j***1,四川,0,5,2017-01-03 11:44:19
2,很好用，买来给宝宝洗澡的时候用！热的很快。,105,0,喵***茶,,0,5,2017-01-07 21:13:58
4,不错不错(*?&acute;╰╯`?)?,105,0,g***s,广东,0,5,2017-01-17 14:09:17
2,挺好,62,0,小***哥,,0,5,2017-01-31 15:17:04
21,物流很快，从来到收到才十多小时的。很好用，,56,0,B***L,,0,4,2017-02-03 19:08:20
4,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,62,0,开***6,北京,0,5,2017-01-20 23:41:07
4,制热速度挺快的，小巧方便,62,0,龚***添,上海,0,5,2017-01-15 13:08:06
2,质量很好，东西非常好用，值得推荐！,105,0,被***梦,上海,0,5,2017-01-19 17:19:06
4,不错,105,0,j***j,,0,5,2017-01-24 14:26:39
2,速度快，加热效率高，很好,62,0,l***1,上海,0,5,2017-01-26 19:32:12
2,超级好用呢，一会儿室内就暖暖的,61,0,j***x,,0,5,2016-12-02 21:13:32
2,很实用,56,0,j***0,,0,5,2017-01-22 18:22:49
2,试了一下洗澡，很暖和。制热很快,56,0,x***7,,0,5,2017-01-29 16:25:06
2,老妈用来吹头发挺不错的，冬天洗澡也不冷了,61,0,d***v,,0,5,2016-12-25 22:01:50
2,好,62,0,K***0,四川,0,5,2017-02-02 02:31:37
2,买了好几个了，送礼佳品,62,0,j***f,,0,5,2017-01-25 11:05:57
2,很好用，宝宝不怕冷，推荐,62,0,c***k,广东,0,5,2017-01-14 16:27:32
2,放浴室用的，升温很快，没什么噪音，不用安装,105,0,j***d,湖北,0,5,2017-02-01 22:17:06
4,速递很快，下单5个小时后就到手，东西还不错，给宝宝洗澡用的，热的挺快的，算满意了，没别人说的有多大多大的异味，刚开是有点，很小很小，能接受的。,61,0,厉***鸡,,0,5,2017-02-02 09:53:37
2,放在厕所里面是特别好，但是调节风速的怎么没有用呢,105,0,j***y,,0,5,2017-01-19 10:11:45
2,到货快，产品小巧可爱，希望使用的感觉也是一样。,105,0,j***l,广东,0,5,2017-02-03 22:39:10
2,给别人买的，还不错,105,0,b***0,,0,5,2016-11-28 10:09:12
2,挺方便的如果可以上下摇摆就好了,105,0,M***9,,0,5,2017-01-05 21:38:42
4,不错，实用,61,0,j***t,江西,0,5,2016-11-20 07:28:50
2,应该可以,105,0,猫***鱼,,0,5,2017-01-18 22:58:19
2,外观时尚漂亮，取暖效果也不错，可高低温调节还有单吹风功能夏天还可以用，哈哈！,105,0,S***3,四川,0,5,2016-12-24 22:50:21
4,小巧方便！适合小的空间用,61,0,爱***梦,山东,0,5,2017-01-30 18:52:45
2,东西好用，很满意！,56,0,j***k,,0,5,2016-12-16 21:17:27
4,很好用,61,0,回***x,,0,5,2016-11-27 10:58:59
0,商品非常好，质量上乘，建议购买,61,0,j***1,河南,0,5,2016-11-07 11:06:02
4,不错，很好用,61,0,s***d,,0,5,2017-01-23 16:36:26
2,办公室里用感觉比空调好用,105,0,c***7,山东,0,5,2016-11-11 09:58:40
4,风挺大的，比空调的风稍微小一点，但是挺好的，挺暖和，放浴室里面挺合适的，适合小宝宝洗澡。,56,0,j***v,,0,5,2017-02-02 12:18:36
21,已经挂上了，挺好的,61,0,f***v,,0,5,2017-02-02 22:14:44
4,不错，买了几个了，,105,0,b***i,湖北,0,5,2017-02-02 19:25:12
4,第一次发来的有点问题，联系京东后次日换新，服务周到，值得信赖！,62,0,阿***淘,江苏,0,5,2017-01-28 13:41:16
4,Ok,105,0,d***g,北京,0,5,2016-12-10 14:00:40
2,第三次买了，没毛病，南方适用,105,0,广***龙,广东,0,5,2017-01-24 18:15:57
4,还不错,61,0,白***氏,四川,0,5,2017-02-03 12:05:47
2,暖脚很好，噪声低,62,0,p***d,北京,0,5,2016-12-31 21:20:11
4,用起来还是不错了，过年期间家里热火,61,0,j***8,四川,0,5,2017-01-27 21:04:08
2,买给爸妈的 老人家说暖风很足，又小巧 很不错 美的品牌信得过，京东送货也快,105,0,原味咖喱,上海,0,5,2017-01-30 14:15:16
4,好用,62,0,-***-,河北,0,5,2017-01-24 20:30:49
2,功率不是太好&hellip;&hellip;跟我以前用的不太一样！总之，整体还不错！,56,0,D***6,,0,5,2017-01-19 16:44:19
4,很好。,56,0,自***A,广东,0,5,2016-12-12 13:11:45
4,用了几天才来，效果很好 值得购买,62,0,1***6,北京,0,5,2017-01-27 13:58:45
4,不错不错,105,0,瞿***_,,0,5,2017-01-14 00:54:27
4,很划算！比超市的便宜的多！京东快递很快！哈哈！好评！,105,0,T***泰,四川,0,5,2017-01-10 10:59:14
2,京东快递的速度简直没话说，东西也挺好的?,61,0,珊***子,,0,5,2017-02-01 19:08:50
4,挺好的，热起来很快。,105,0,z***l,青海,0,5,2016-11-10 19:57:41
4,还可以、好看！好用！暖和！感觉0K！！,62,0,中南八哥,广东,1,5,2017-01-26 19:44:21
2,很好哦,62,0,i***i,上海,0,5,2017-01-25 19:00:05
4,666,56,0,j***b,湖南,0,5,2016-12-29 21:41:52
2,质量很好 很不错 效果可以,105,0,k***1,,0,5,2017-01-26 21:41:20
2,买来给宝宝洗澡用的，试了一下，还不错。,105,0,独***方,,0,5,2017-02-01 21:29:27
4,包装很好，速度很快！声音不大，还挺温暖！在下冻雨的日子里帮助非常大,61,0,y***8,,0,5,2017-01-15 08:35:43
2,物美价廉 送货及时,105,0,A***s,北京,0,5,2016-11-20 09:40:28
4,京东一如既往地方便快捷，临睡下单，醒来就能收到，快递师傅很负责,105,0,游***心,河南,0,5,2017-01-26 16:52:48
4,没有你的日子里，这个冬天怎么过，取暖神器。,105,0,枫***印,浙江,0,5,2017-01-02 13:06:44
4,冬日暖阳啊，取暖很不错，购买了两个，热风吹得舒服?,105,0,枫***印,浙江,0,5,2016-11-30 09:52:11
4,还不错哦！风力很大，有点像一个吹风！,62,0,x***d,四川,0,5,2017-01-31 17:59:33
2,很好,62,0,燕***天,,0,5,2017-01-17 12:54:01
2,很暖和的风,61,0,f***n,四川,0,5,2017-01-20 11:53:41
4,不错蛮好的新家装好了再买一个,61,0,H***0,湖北,0,5,2017-02-02 01:05:33
2,声音很小，效果不错，送过速度神速,105,0,M***狼,上海,0,5,2017-02-03 09:45:22
4,！！！！！！！！！！,105,0,s***2,广东,0,5,2017-02-03 09:58:54
2,好用，热得很快，空间不能太大,62,0,J***欣,广东,0,5,2016-12-19 08:48:25
2,好,61,0,O***h,,0,5,2016-12-13 16:12:40
2,给朋友妈妈用的，不占地方。风力大,105,0,聪***V,广东,0,5,2017-01-22 17:39:46
4,宝贝很好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,61,0,1***3,,0,5,2016-11-11 22:48:11
2,买来给小宝宝洗澡用的，很静音，效果很温和。性价比巨高。入风口在底部，非常出色的设计。,61,0,饮***人,广东,0,5,2017-01-08 16:08:04
4,风有些小，其它还是不错的,56,0,驼***爸,福建,0,5,2016-12-12 09:29:35
2,挺好用,62,0,k***8,北京,0,5,2017-02-02 21:08:10
4,这个冬天宝宝洗澡不用害怕寒冷,61,0,j***v,,0,5,2017-01-23 16:54:12
2,东西很好用，加热速度快，噪音也不大，就是还没试浴室能用不,61,0,a***N,,0,5,2017-01-03 21:25:14
2,非常好的一个产品，一下子就热起来了，而且安全,105,0,j***t,广东,0,5,2016-12-30 20:25:48
2,很好的暖风机，加热快，卧室足够,61,0,j***v,,0,5,2017-01-30 19:13:44
4,精致小巧，热力十足,61,0,c***z,上海,0,5,2017-02-02 16:34:21
4,物流很快，包装很好，没有受损。暖风效果也挺快，十几分钟房间就暖起来了。洗澡的时侯用更方便，还防水。最重要自营售后服务放心。,62,0,展***2,广东,0,5,2017-01-26 23:49:44
0,不错 值得你购买 很好的东西,105,0,b***9,广东,0,5,2017-01-21 17:58:07
2,挺好的，风很热，价格也还可以，赞一个吧，客服态度非常好！,56,0,j***?,,0,5,2017-01-27 15:38:33
4,很好用哦，不错的选择！,62,0,j***9,,0,5,2017-02-03 08:55:24
4,超级满意,62,0,俊***朵,北京,0,5,2017-01-20 14:14:59
2,大品牌的质量就是好，价格也不贵，好,105,0,绿***9,浙江,0,5,2016-12-12 23:11:52
4,外观很漂亮，挂起来不太容易，感觉其他牌子的前后都有挂把手的适用性更好,62,0,w***a,广东,0,5,2017-02-01 11:16:54
2,刚收到，上电试了一下，热的很快，很轻，移动起来不费力。,105,0,x***1,上海,0,5,2017-02-03 01:10:30
4,这个暖风机在小范围之内还是很给力的呢~~~,105,0,剑***夕,湖南,0,5,2017-01-30 21:02:45
4,好用！声音不大哦，比空调热得快，尤其外边有雾霾时，空调要定时除霜，这个设备不用除霜,105,0,青***乙,黑龙江,0,5,2017-01-17 20:41:06
2,非常好.值得买,61,0,j***2,江西,0,5,2017-01-31 12:35:48
4,赞，赞，赞！,56,0,j***c,,0,5,2017-01-30 00:04:46
4,这个冬天不在冷了,62,0,忆***恒,,0,5,2017-01-18 20:02:45
2,非常实用 制热效果快 小巧 小东西办公室用,61,0,h***i,,0,5,2017-01-17 22:45:56
0,一如既往的不错，值得购买,61,0,幸***王,浙江,0,5,2017-01-06 21:27:37
0,送货及时。非常感谢！,62,0,x***2,上海,0,5,2017-02-02 20:39:49
4,挺好用的！东西也厚实！希望用的时间能长,62,0,h***6,浙江,0,5,2017-01-27 11:48:11
4,快递人员很好 ??????????,56,0,j***e,,0,5,2017-02-02 12:08:41
2,好,61,0,j***k,,0,5,2017-01-19 08:25:20
0,制热效果好，使用方便，值得拥有。,62,0,j***q,,0,5,2016-11-20 22:53:31
0,东西很好,105,0,g***g,,0,5,2017-01-18 14:09:42
2,用了，非常好，很快就热了！,105,0,j***0,浙江,0,5,2017-02-02 16:09:24
4,近距离还是挺暖和的,56,0,不***悔,,0,5,2017-01-18 08:28:34
0,款式很大方 ，老婆很喜欢。。。。。。,62,0,城***驴,,0,5,2017-01-30 17:16:16
2,用着还可以,56,0,j***q,,0,5,2017-01-01 17:35:01
4,这是第二次买这款暖风机，出风大，出暖风快,62,0,j***c,,0,5,2017-01-29 06:32:30
4,挺好的,105,0,j***7,江苏,0,5,2017-01-29 14:51:05
4,可以,62,0,j***h,,0,5,2017-01-11 11:59:02
4,没气味，加热效果还行~,62,0,w***3,北京,0,5,2017-01-16 18:22:49
2,不错 声音小,62,0,小***2,上海,0,5,2017-01-31 12:30:37
4,不错，热的块，就是高低没有区别,62,0,无***落,上海,0,4,2017-01-11 10:34:05
2,阿册necklace嗯家里咯吐了咯还好哈哈哈,105,0,假***道,江苏,0,5,2017-01-26 16:35:29
2,很好用,105,0,副***生,重庆,0,5,2017-01-22 21:23:45
2,小巧迷人，功率强大，取暖一级棒！,62,0,一***使,江苏,0,5,2016-11-08 16:01:28
2,很小一台,56,0,尕***岚,,0,5,2017-01-18 10:57:52
4,还行好用,105,0,j***5,江苏,0,5,2017-02-01 12:46:27
4,性价比高，质量还可以，值得推荐！,105,0,l***s,广东,0,5,2016-11-25 21:56:11
0,送货快， 方便实用,105,0,优***麦,上海,0,5,2017-01-08 20:42:12
2,东西不错，已经第二次购买了,105,0,x***6,上海,0,5,2017-01-11 22:10:08
0,东西小巧 不占地方,62,0,s***n,上海,0,5,2016-11-27 23:18:47
21,东西很棒，物流超快，赞赞赞,61,0,q***E,,0,5,2016-11-16 06:49:52
4,好像拆封过，里面的电源线都是乱的。试了一下还好，懒得换了。,105,0,小宅女88,江苏,0,3,2017-02-01 16:37:03
4,挺好用的，过年买来烘脚很棒哦！,105,0,h***3,浙江,0,5,2017-01-30 00:43:29
4,体积小，热量大，不错,61,0,j***z,江西,0,5,2017-01-12 16:23:47
4,取暖效果很好，没有差评里说的塑料味现象，给买的人一个参考意见,105,0,风***苇,上海,0,5,2017-01-20 21:12:39
2,热风速度快，噪音低，风力不大但卫生间使用足够。\n刚开始用异味较重，使用了几天异味小了些。,105,0,维***3,江苏,0,5,2017-01-24 22:40:02
4,昨天收到的，试了试还可以，就是出风量小点，总的来说还不错。,61,0,j***2,,0,5,2017-01-30 07:30:21
2,物流很快，制热速度很好，很实用的便携式暖风机,62,0,z***1,北京,0,5,2017-01-31 19:56:19
4,我是京东的常客，京东就是好，送货快，只需一天，好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,61,0,j***4,,0,5,2017-02-02 15:56:29
4,高温低温旋钮其实就是个开关，没有任何调节温度的作用，不知道为啥脑抽做2个旋钮&hellip;,61,0,_***_,,0,5,2016-12-27 20:44:39
0,还不错，速度蛮快的，东西也不错。,105,0,w***i,上海,0,5,2017-01-18 09:36:42
4,温度不理想不热。,61,0,j***i,,0,5,2017-01-23 03:30:03
2,风力再大点就好了，2000瓦的功率，风相对不够强劲,61,0,j***v,江苏,0,5,2017-01-08 13:30:14
2,不错，就是若能在里面按个送风转向就更好了,62,0,j***i,广东,0,5,2017-01-16 11:28:50
2,好,56,0,j***e,,0,5,2016-12-25 20:27:13
4,这个玩意非常方便，比空调快多了，关键在卫生间给孩子洗澡这个暖起来比浴霸舒服暖和多了。建议宝妈买,105,0,麦***8,上海,0,5,2016-12-21 23:05:51
2,东西虽小制热倒挺快，不过不适合大空间加热，我在家都把它用来暖手,61,0,s***g,江苏,0,5,2017-01-23 14:16:00
2,热的比较快，就是有股塑料味，不知道用几天会不会就好了,61,0,莲***7,,0,5,2017-02-01 19:12:54
0,东西不错 值得拥有,105,0,c***0,上海,0,5,2017-01-16 20:34:39
2,挺好的,61,0,未***到,,0,5,2016-11-26 23:46:00
0,很好用，不错，制热快，非常实用。,62,0,z***t,上海,0,5,2017-01-13 17:54:41
4,帮同事买了！地四个了！很好用，今年冬天全靠它了！,105,0,j***4,河北,0,5,2016-12-24 09:19:22
2,东西挺好用的，还可以的吗,61,0,果***t,江苏,0,5,2017-01-03 08:13:14
2,挺好的，不错,62,0,石***榴,山东,0,5,2017-01-18 13:46:43
4,暖风很好。,62,0,o***l,四川,0,5,2016-12-12 20:31:32
4,特别好，物美价廉，主要还是正品，速度还特别快！,61,0,6***9,北京,0,5,2017-01-23 19:57:27
4,帮朋友买的，挺好的,105,0,哠***夫,云南,0,5,2017-01-15 21:10:46
4,&hellip;&hellip;,56,0,j***3,西藏,0,5,2016-12-28 19:58:59
4,很暖和，放在浴室里，洗澡用,105,0,g***g,北京,0,5,2017-01-10 09:52:44
2,取暖效果很好，就是温度关到一定程度的时候就自动跳了，离得近了还是觉得比较烫,105,0,Z***e,四川,0,5,2016-12-23 16:10:22
4,很喜欢,56,0,q***P,,0,5,2016-11-10 23:19:18
2,东西很好用，京东发货就是快！,62,0,j***5,上海,0,5,2016-11-09 19:23:14
2,怎一个爽字了得，真心好用，使用舒服，出风快，屋里一会就暖和了，洗澡间也可以使用，洗澡也不怕冷了,105,0,落***痕,江苏,0,5,2017-02-02 01:47:28
2,加热还是很给力的！,61,0,刚***煊,陕西,0,5,2016-12-16 15:44:11
2,很好,61,0,念***1,,0,5,2017-01-12 22:48:35
2,很好用，接着就出热风，也没有什么气味，很不错。,61,0,j***5,山东,0,5,2016-12-29 14:06:17
2,晚上11点下单 第二天早上9点就送到了 深圳的冬天洗完澡就感冒 看到这个买来简直太好用了 热得快 屋里瞬间温暖了 真的有地暖的感觉 我和老妈都超满意 特别是老妈一会一个赞叹 喜欢的不得了 准备再买一个 客厅卧室各放一个,61,0,R***o,北京,0,5,2017-02-01 22:52:30
4,挺好用的，我自己的小房间，好暖和,62,0,h***m,江苏,0,5,2016-11-26 17:07:13
4,即开即有暖气！很好用，宝宝洗澡会放在边上，很暖和，适合小空间！,62,0,M***x,上海,0,5,2017-01-10 08:13:38
2,声音不大，买了两个，一个给老人用，一个婴儿用，反响都不错！,62,0,橙***t,四川,0,5,2017-01-02 22:51:34
4,挺不错的，都买了三个了。洗澡用很暖和。,105,0,m***c,北京,0,5,2017-01-28 19:13:34
2,发货速度快，包装完整，挺好用的,105,0,j***7,北京,0,5,2017-01-15 13:56:58
4,便宜，好用，送货快，正品。,105,0,x***n,广东,0,5,2016-11-20 10:36:10
2,一下子买了两个，用着不错方便，随用随放随挂都可以，风力也可以,61,0,j***a,广东,0,5,2016-11-27 13:20:43
0,制热快 目前用下来没什么问题,62,0,M***d,上海,0,5,2017-01-25 15:48:52
2,老婆说很好,62,0,阔***儿,广东,0,5,2017-02-02 08:49:18
2,刚用了一个月就坏了，拿去维修了，我很忧桑，希望以后好好的吧,61,0,月***痕,江苏,0,4,2016-11-27 10:06:41
4,还不错不错不错不错不错不错不错,61,0,J***e,四川,0,5,2016-12-23 23:01:41
2,不错，一分钟就暖了，好评！,105,0,一***禅,北京,0,5,2017-02-02 03:27:10
21,第二次买了，很不错！,62,0,v***M,,0,5,2017-01-29 15:49:56
4,效果很好！热的很快,62,0,a***献,山东,0,5,2017-01-13 20:51:22
2,不错一直在用 用了两个月了 没啥毛病 挺暖呵的。美的品牌不错,61,0,6***娘,安徽,0,5,2016-11-23 17:44:12
2,速度真快，非常好用,56,0,再***华,,0,5,2017-01-16 16:21:48
2,51东西很不错，值得购买，赞一个！,105,0,4***1,,0,5,2017-01-17 11:41:47
2,很热，比之前的好多了,105,0,j***c,福建,0,5,2017-01-19 11:18:40
2,不错，很暖和,61,0,c***5,江苏,0,5,2017-01-11 22:54:15
4,热风很好,56,0,j***a,,0,5,2017-01-29 22:27:27
2,不错，很暖和，即开即热。用表测了下，低档功率1800瓦，出风口温度98度，高档功率2400瓦，出风口温度130度。当暖气也不错，噪声不是很大，但是睡觉时不能开，比空调要吵。送货晚到了一天。,105,0,r***d,北京,0,5,2017-01-30 01:32:24
4,电暖器小巧，但只能近吹，远吹不暖,62,0,涓***Y,,0,5,2016-11-25 15:45:06
2,好好好好好好好好好好好好好好好,62,0,r***u,上海,0,5,2016-12-18 22:05:16
2,这个是第二个买的了，送给爸妈，真的不错哦，放在浴室就像开了空调一样,105,0,圣***辉,浙江,0,5,2016-12-31 14:03:12
4,很好！很有热度,62,0,珍***悔,上海,0,5,2017-02-01 16:33:42
4,蛮好的,62,0,L***N,江苏,0,5,2016-11-09 21:23:19
2,东西不错，热得很快，很好用,62,0,l***x,,0,5,2017-01-23 21:14:40
4,给客户的礼品，已多次购买了，以后还会继续在京东采购！,105,0,永***0,天津,0,5,2016-11-24 10:38:29
4,东西很好，出风快，热风很暖,62,0,爱***鱼,陕西,0,5,2016-12-31 11:01:52
4,噪音太大,62,0,陈***洋,福建,0,5,2016-12-23 20:47:03
4,宝贝已用，超级好用，又帮同事买了一台，赞?,61,0,l***1,江苏,0,5,2017-01-24 20:12:19
2,好好好好好你说什么都好,105,0,S***t,,0,5,2017-01-17 12:02:12
2,挺不错的小玩意、暖风出来速度快。放卫生间正好,62,0,shaka2046,江苏,0,4,2017-02-01 13:09:14
2,制热快，效果好，很精致，一看就是大品牌制造，信得过,62,0,w***o,河南,0,5,2017-01-24 19:33:05
4,加热好快，外观精美,61,0,x***6,北京,0,5,2017-01-31 11:12:26
2,质量非常好,105,0,张***a,北京,0,5,2016-11-11 08:57:17
2,小巧不占地方，小浴室效果很好也很实用，冬天洗澡不怕着凉啦～,61,0,1***p,,0,5,2016-11-26 14:38:26
4,质量很好！方便携带！制暖效果好！嫂子先买了一个特好用！我又买了一个！这款特别赞！,56,0,马***菜,,0,5,2017-02-01 12:24:46
2,质量非常好,105,0,张***a,北京,0,5,2017-01-22 09:53:25
0,我是买了给我爸妈用的，暂时没看到真机，但是我把爸妈说挺好用的，那应该也是不错的，好评。,61,0,J***X,江苏,0,5,2017-01-28 16:30:06
4,很好，己用了半月会,56,0,j***j,,0,5,2017-01-17 18:23:48
4,爸妈洗澡怕冷，以前用的一个大的，由于不防水，用了3年坏掉了，这个放在浴室里还是很实用的,62,0,j***v,湖北,0,5,2017-01-17 21:21:41
4,很好用，给宝宝买的，宝宝洗澡再也不怕天冷了,61,0,5***鑫,,0,5,2016-12-31 10:07:47
4,自己买了一台，帮朋友也买了一台,105,0,c***t,广东,0,5,2016-11-11 12:29:36
2,小巧玲珑，简单大方，给儿子洗澡用的，挺不错的,62,0,j***0,上海,1,5,2017-01-15 08:01:24
4,用了一段时间，感觉还不错???,62,0,j***7,,0,5,2017-01-30 17:43:50
0,浴室近距离用不错,61,0,s***7,广东,0,5,2016-11-27 22:42:10
0,大品牌，外观时尚大方，用起来加热很好。感觉棒棒哒！,62,0,c***2,,0,5,2017-01-18 16:25:10
2,挺好用,56,0,j***b,,0,5,2016-12-13 00:17:41
4,很好啊，，，就是外包装箱子不给力啊，连个提手都没有，大冷的天要两个手抱着，还有待改进啊，，,62,0,j***1,河南,0,5,2017-02-01 17:00:33
0,商品还可以，出热风也挺快的，但就是离得稍为远点的话热风就成冷风了,62,0,五***物,四川,0,4,2016-11-12 21:28:25
2,买了第三个了，小面积的卫生间效果特别好，热的很快，给宝宝洗澡刚刚好,105,0,g***6,广东,0,5,2017-01-25 21:32:52
2,好好,56,0,C***W,,0,5,2016-11-17 16:29:49
2,好物有所值好物有所值好物有所值好物有所值好物有所值好物有所值,62,0,j***i,辽宁,0,5,2017-01-25 00:19:34
4,刚收到就试用了一下，发热非常快，很暖和。外观小巧精致，很有档次。,56,0,j***x,,0,5,2017-01-30 19:04:04
2,不错，大过年的快递小哥一早就送来了，辛苦了，暖风机正好适用，小女儿换尿布洗屁屁的时候也不怕冷了,61,0,t***y,四川,0,5,2017-02-01 19:04:26
2,好用。赞,61,0,j***y,,0,5,2017-01-30 10:21:08
2,一直都是在用一个牌子，挺好的，？,105,0,国***藏,,0,5,2017-01-23 21:50:56
2,小巧，好用！不用安装灯暖那么麻烦了！,105,0,j***9,北京,0,5,2016-12-12 09:28:38
2,挺好的 就是噪音有点大,56,0,时***5,,0,5,2017-01-17 19:19:05
4,外型美观，功能齐全实用,62,0,j***4,,0,5,2017-01-25 17:42:04
2,挺好，很热，满意,61,0,j***a,江苏,0,5,2016-11-11 14:11:26
2,买来给孩子洗澡用 很方便,61,0,j***v,,0,5,2016-12-12 10:18:20
4,非常好★啦咯啦咯啦咯啦咯啦咯啦咯,105,0,0***0,广东,0,5,2016-11-10 02:55:25
2,效果很好，热的很快，小巧实用,56,0,j***1,,0,5,2017-01-29 09:55:44
0,还不错，在京东买商品，放心，实惠，价廉物美，噪音还是有少许 不过能接受 美的大品牌 值得信赖,105,0,b***8,广东,0,5,2016-12-12 22:57:17
4,挺好的，风机很暖和，我房间28平米，开的低温一晚上基本没问题温度刚刚好，我在青海室外温度可是零下5度。所以挺满意的。,105,0,等***啡,陕西,0,5,2017-01-16 19:08:57
4,挺好用的,62,0,j***a,吉林,0,5,2016-12-10 22:06:08
4,效果好，卫生间很快就暖和了，给宝宝洗澡不用担心着凉，比浴霸要好,105,0,森***C,湖北,0,5,2017-01-10 20:17:39
2,很棒，实用性强,105,0,j***f,,0,5,2017-01-08 20:16:07
4,方便搁放，还不错,62,0,b***a,四川,0,5,2016-12-25 03:40:41
2,买的第二个，放在小房间里超暖和,105,0,s***9,,0,5,2017-01-29 10:06:35
2,好,61,0,7***讯,,0,5,2017-01-14 19:27:05
4,家里厨房太冷了，做个饭都要长冻疮。自从买了这个再也不怕下厨房了！热的很快！买回来我妈还说我瞎花钱搁那生气呢，用了一次以后美癫癫的说这回可算是暖和了。,105,0,z***j,北京,0,5,2017-01-26 15:35:40
4,东西不错，用料很扎实，挺好的，下次还会继续光顾&hellip;&hellip;,62,0,o***o,云南,0,5,2016-11-12 11:58:11
0,好好好,61,0,t***6,,0,5,2016-12-15 06:48:20
4,"外覌漂亮,发货快,使用发热效果非常好,只是噪音略大,总体表现满意.",61,0,平***久,,0,5,2016-11-09 10:18:15
4,小巧很实用，冬天洗澡不在冷，出热风很快，送货及时。,62,0,j***c,,0,5,2017-01-31 14:30:25
4,物流给力，使用中。,62,0,j***7,河南,0,5,2017-01-26 22:02:39
4,我很默默，反正不是我在用，我在用我不管我不管，我只管买买买,105,0,糖***S,,0,5,2016-11-07 22:46:37
4,京东快递就是快，物品质量好！,62,0,j***睿,广东,0,5,2016-12-09 11:47:21
4,京东快递就是快，物品质量好！,62,0,j***睿,广东,0,5,2016-12-30 12:22:42
4,好,61,0,三***木,辽宁,0,5,2016-11-11 11:48:21
4,挺好，方便好用，考虑再给老人来一台,105,0,j***5,北京,0,5,2017-01-30 14:31:43
2,发热挺快，浴室用好,62,0,小***J,山东,0,5,2017-01-26 20:05:14
2,加热快，挺好用。,62,0,z***0,,0,5,2016-11-28 09:55:38
2,后妈多次了，还行吧,105,0,i***e,江苏,0,5,2017-01-12 05:40:20
4,风不算大，但还是能很热，没有异味,105,0,唧***咔,云南,0,5,2017-01-16 20:12:52
2,东西不大但是效果不错，买来放在卫生间给宝宝洗澡的时候用的,61,0,c***3,河北,0,5,2017-01-19 17:18:58
4,不错,61,0,f***n,江苏,0,5,2017-01-30 04:49:34
2,买的第二个了，非常好用,105,0,s***j,上海,0,5,2017-01-31 21:59:50
4,好评吧，还没用,62,0,姜***4,,0,5,2016-12-07 14:54:39
4,用了几次就坏了，晚上8点多联系客服，第二天就给送来新的了，就冲着售后必须好评,62,0,想***我,辽宁,0,5,2017-01-09 20:47:51
4,给家人洗澡取暖用的，质量还行！,105,0,r***w,江苏,0,5,2017-01-17 12:30:11
2,喜欢在京东买东西很快很好！喜欢在京东买东西很快很好！喜欢在京东买东西很快很好！,62,0,3***9,,0,5,2016-11-11 12:32:51
4,好用，发热快,105,0,夏***旭,四川,0,5,2016-11-26 10:58:46
4,外观漂亮，方便走那里领那里，出暖风比空调快，,56,0,j***儿,,0,5,2017-01-31 20:00:20
2,使用中,62,0,f***c,江苏,0,5,2017-01-31 20:51:59
4,还行！,56,0,j***0,广东,0,5,2017-01-06 07:31:05
0,暖风机非常好。评论里说的边沿密封不严的问题，拿到货后发现是从后面看密封不严，从前面看接缝很不错的。\n基本没有味道。最让我兴奋的是声音真小。比家里以前的号称静音型的丹普安静太多了。,61,0,沙***8,北京,0,5,2017-01-31 15:36:52
4,放在浴室很好，洗澡起来也没有那么冷了,61,0,j***l,广东,0,5,2017-01-21 16:31:07
2,用了一礼拜就有噪音了 呼啦呼啦的声音,62,0,j***、,,0,1,2017-01-16 06:53:04
4,暖风速度快，就是最好固定在墙上。,62,0,m***5,陕西,0,5,2016-11-04 10:40:35
4,挺好值得推荐,62,0,j***d,,0,5,2017-01-30 00:11:40
2,很好用看上去质量也好。是正品。风速热力随便调,56,0,Z***点,,0,5,2017-01-25 22:37:06
4,还不错。主要送货快，快递员也很辛苦，大晚上下雪还送。,61,0,j***j,,0,5,2017-01-31 17:52:55
2,1,56,0,j***g,河南,0,5,2017-01-30 08:21:43
4,第一次京东下单，以前从没有过网购经历。怀着忐忑不安的心情下完单。第二天中午就到了。真心喜欢，很愉快的一次购物。用着也不错，升温很快，美的的产品用着也放心。,56,0,j***1,,0,5,2017-01-13 09:31:56
